Timestamp,Username,1. Age (in January 2025) ,2. Gender,3. Citizenship Status,4. What is your household's monthly income range?  ,5. Number of SPM subjects,6. Grades for each core SPM subjects  [Bahasa Melayu],6. Grades for each core SPM subjects  [Bahasa Inggeris],6. Grades for each core SPM subjects  [Sejarah],6. Grades for each core SPM subjects  [Matematik],"7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Islam]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Pendidikan Moral]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Matematik Tambahan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Fizik]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Kimia]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Biologi]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Prinsip Perakaunan]","7. Grades for each additional SPM subject ( If you did not take the subject, please select ""None"" ) [Ekonomi]",8. PAJSK Score (range: 0.00 – 10.00),"9. Top 5 Co-curricular Highest Achievements

Example:
- Gold Medalist in the International Mathematics Olympiad (IMO) 2023
- President of the Science & Innovation Club, Organized National STEM Fair 2022
- Captain of the State Football Team, Represented Malaysia in ASEAN Youth Championship
(Please continue in this format until you have listed 5 achievements.)","10. What is your CGPA for your pre-university program?
(e.g., Diploma, Foundation, Matrikulasi, or STPM)

Example: 
3.96","11. What is your CGPA for your first semester in degree study? 

Example: 
3.96  ",12. What is your current field of study?,"13. Are you currently receiving a merit-based scholarship (not a loan or PTPTN)?
(e.g., JPA, university excellence scholarship, state foundation scholarships, etc)"
2025/03/27 6:50:37 PM GMT+8,sri.lloyd@gmail.com,23,Female,Malaysian,"Below RM4,850",9,C,B+,A-,B+,G,A-,G,B+,C,E,B+,C,8.5,national/state awards,3.75,3.69,Actuarial Science / Statistics,Yes
2025/03/27 6:50:37 PM GMT+8,li-musa461@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",9,B+,D,C,G,G,D,A+ / A,C,A-,E,A+ / A,C,7.5,national/state awards,3.75,3.69,Economics / Public Policy,Yes
2025/03/27 6:50:37 PM GMT+8,alyona-delgado@gmail.com,22,Female,Malaysian,"RM10,971 - RM15,040",11,C+,B+,C,A+ / A,A-,B+,B+,C,A-,A+ / A,B,B+,6.2,Leadership roles,3.92,3.75,Law / Legal Studies,Yes
2025/03/27 6:50:37 PM GMT+8,isabelnovikov320@gmail.com,22,Male,Malaysian,"RM4,851 - RM7,100",10,B+,A-,B+,A+ / A,C,D,A-,D,C+,C,B+,A+ / A,7.5,Leadership roles,3.92,3.58,"Business, Management & Finance",Yes
2025/03/27 6:50:37 PM GMT+8,shanti.morris451@gmail.com,21,Male,Malaysian,"RM7,101 - RM10,970",10,E,C,C+,E,C+,E,C,A-,D,A+ / A,A+ / A,D,7.5,national/state awards,3.55,3.97,Accounting,Yes
2025/03/27 6:50:37 PM GMT+8,somnuek.vega728@gmail.com,23,Female,Malaysian,"Below RM4,850",9,B+,D,C+,B,A-,A-,D,C,None,C,B,B+,6.2,Leadership roles,3.67,3.84,Science & Mathematics,Yes
2025/03/27 6:50:37 PM GMT+8,anthony+griffiths@gmail.com,22,Female,Malaysian,"Above RM15,040",8,C,C,B,C+,G,D,C,D,A+ / A,D,G,A+ / A,8.7,Leadership roles,3.55,3.97,Science & Mathematics,Yes
2025/03/27 6:50:37 PM GMT+8,haimmacharia@gmail.com,Others,Male,Malaysian,"Below RM4,850",9,C,A-,C+,E,A-,A-,D,None,A-,G,E,B,6.5,Leadership roles,3.92,3.58,"Business, Management & Finance",Yes
2025/03/27 6:50:37 PM GMT+8,zainab.stepanov@gmail.com,23,Female,Malaysian,"RM4,851 - RM7,100",10,B,A-,C,B+,E,A-,B,E,E,A-,D,E,8.7,Leadership roles,3.6,3.69,"Business, Management & Finance",Yes
2025/03/27 6:50:37 PM GMT+8,shay.santiago332@gmail.com,22,Male,Malaysian,"RM10,971 - RM15,040",9,G,C+,D,E,A+ / A,None,C,A-,D,A+ / A,B,A-,8.5,national/state awards,3.55,3.58,Actuarial Science / Statistics,Yes
